ESPNRating,2014PO,2014HF,2015PO,2015HF,2016PO,2016HF,2017PO,2017HF,Market
5,0,0,0,0,1,2,1,2,617594
5,0,0,1,3,1,5,1,3,2695598
5,0,0,0,0,1,4,1,2,396698
5,0,0,1,2,0,0,1,5,2099451
5,0,0,1,1,0,0,1,3,8622698
5,1,1,0,0,0,0,0,0,390724
5,1,1,1,1,0,0,0,0,305704
5,1,3,1,2,0,0,0,0,319294
5,0,0,0,0,0,0,0,0,335709
4,1,3,0,0,1,1,0,0,620961
4,1,4,1,5,0,0,0,0,2159159
4,1,2,1,2,1,3,1,4,3792621
4,0,0,1,4,1,1,0,0,8622698
4,0,0,0,0,0,0,0,0,1307402
4,0,0,1,3,1,3,0,0,2731571
4,1,2,0,0,1,2,1,2,6131977
3,0,0,0,0,0,0,0,0,2695598
3,1,2,0,0,0,0,0,0,336265
3,0,0,0,0,0,0,0,0,594833
3,1,5,0,0,1,2,0,0,884363
3,0,0,0,0,0,0,0,0,608660
3,0,0,1,2,1,2,0,0,1197816
2,0,0,0,0,0,0,1,2,1445632
2,0,0,0,0,0,0,0,0,420003
2,0,0,0,0,0,0,0,0,296943
2,0,0,0,0,0,0,1,1,600158
2,1,2,0,0,0,0,0,0,713777
2,0,0,0,0,0,0,1,1,382578
1,0,0,0,0,0,0,0,0,399457
1,0,0,0,0,0,0,0,0,1580863
5,1,1,1,1,1,1,0,0,1197816
5,1,1,1,3,1,1,1,2,2099451
5,0,0,0,0,0,0,0,0,1580863
5,1,5,1,1,1,2,1,3,1511946
4,1,1,1,3,1,2,1,1,420003
4,0,0,1,1,1,1,1,3,617594
4,0,0,1,4,1,5,1,4,396698
4,0,0,0,0,1,1,0,0,713777
4,1,1,1,5,1,4,1,5,390724
4,0,0,1,2,0,0,0,0,646889
4,1,3,0,0,1,3,1,1,579999
4,1,2,1,1,1,2,1,1,583776
3,1,1,0,0,1,1,0,0,731424
3,1,3,0,0,1,1,1,1,820445
3,1,4,0,0,1,2,0,0,399457
3,0,0,1,1,0,0,1,1,594833
3,0,0,0,0,0,0,0,0,238300
3,0,0,0,0,0,0,0,0,1445632
3,0,0,0,0,0,0,0,0,466488
3,1,1,1,1,1,3,1,2,2731571
3,0,0,0,0,0,0,1,2,186440
2,1,1,1,2,0,0,1,1,2695598
2,0,0,0,0,0,0,0,0,600158
2,1,2,1,2,1,1,1,1,3792621
2,1,1,0,0,1,1,1,1,382578
2,0,0,1,1,0,0,0,0,343829
2,1,2,1,2,0,0,1,2,6131977
1,1,2,1,1,0,0,0,0,8622698
1,0,0,0,0,0,0,0,0,3792621
1,0,0,0,0,0,0,0,0,8622698
5,1,5,1,1,1,1,0,0,2695598
4,0,0,0,0,1,1,1,2,617594
4,0,0,0,0,0,0,0,0,261452
4,0,0,0,0,1,1,1,1,787033
4,0,0,0,0,1,2,0,0,932546
4,0,0,1,1,0,0,1,1,3792621
4,1,2,1,1,1,1,1,1,382578
4,1,1,1,2,0,0,0,0,8622698
4,1,1,1,5,1,5,1,2,305704
4,1,1,1,3,1,2,0,0,319294
4,1,4,1,3,0,0,1,3,335709
4,0,0,0,0,1,1,1,1,2731571
4,1,2,1,2,1,2,1,5,6131977
4,1,1,0,0,0,0,1,3,705244
3,0,0,0,0,0,0,0,0,1445632
3,1,2,0,0,1,1,0,0,1239220
3,0,0,0,0,0,0,0,0,403892
3,0,0,1,2,0,0,0,0,1197816
3,1,1,1,1,0,0,0,0,713777
3,0,0,1,1,0,0,0,0,84439
3,1,2,0,0,1,1,0,0,1704694
3,1,1,1,2,1,4,1,2,691243
3,0,0,0,0,0,0,1,1,277140
3,0,0,1,1,0,0,1,1,1580863
3,0,0,1,4,1,1,1,2,945942
3,1,1,0,0,0,0,0,0,631486
2,1,3,1,1,1,3,1,1,336265
2,1,3,1,1,1,2,0,0,8622698
2,1,1,0,0,1,3,0,0,934243
1,0,0,0,0,0,0,1,1,600158
4,0,0,0,0,1,4,1,2,420003
4,1,2,0,0,0,0,0,0,620961
4,0,0,0,0,0,0,0,0,396698
4,1,2,0,0,1,2,0,0,1197816
4,0,0,0,0,0,0,1,3,821784
4,0,0,1,2,1,2,1,1,2159159
4,1,5,1,3,1,5,1,4,617594
4,0,0,0,0,0,0,1,5,1580863
4,0,0,0,0,0,0,0,0,884363
3,0,0,0,0,0,0,1,1,261452
3,0,0,0,0,0,0,0,0,2695598
3,1,3,1,2,1,3,0,0,104057
3,0,0,0,0,1,1,0,0,399457
3,0,0,0,0,1,1,0,0,390724
3,1,4,1,2,1,2,0,0,608660
3,0,0,0,0,0,0,0,0,335709
2,1,1,1,3,0,0,0,0,1445632
2,1,2,1,4,0,0,1,1,731424
2,1,1,1,1,0,0,0,0,296943
2,1,2,1,5,0,0,0,0,600158
2,1,1,0,0,1,1,0,0,713777
2,0,0,1,1,1,2,0,0,2099451
2,1,3,0,0,0,0,0,0,820445
2,0,0,1,1,0,0,1,3,382578
2,0,0,0,0,0,0,1,2,343829
2,0,0,0,0,1,1,0,0,8622698
2,1,1,1,2,1,3,1,2,305704
2,0,0,0,0,0,0,1,1,3792621
1,0,0,0,0,0,0,0,0,8622698
1,0,0,0,0,0,0,0,0,3792621
1,0,0,0,0,0,0,1,2,691243
1,0,0,1,1,0,0,0,0,6131977
5,0,0,0,0,0,0,1,4,583756
